m4c1 & 0.918 & 1.000 & 0.902 & 0.999 \\ 
m4c2 & 0.872 & 1.000 & 0.846 & 0.999 \\ 
m4c3 & 0.974 & 0.999 & 0.969 & 0.996 \\ 
m4c4 & 0.876 & 1.000 & 0.852 & 0.999 \\ 
m4c5 & 1.000 & 1.000 & 1.000 & 0.999 \\ 
m4c6 & 0.663 & 1.000 & 0.597 & 1.000 \\ 
m5c1 & 0.916 & 1.000 & 0.908 & 0.996 \\ 
m5c2 & 0.910 & 1.000 & 0.901 & 0.998 \\ 
m5c3 & 0.970 & 1.000 & 0.967 & 0.999 \\ 
m5c4 & 1.000 & 1.000 & 1.000 & 0.996 \\ 
m5c5 & 1.000 & 1.000 & 1.000 & 0.999 \\ 
m5c6 & 0.917 & 1.000 & 0.909 & 0.996 \\ 
m5c7 & 0.912 & 1.000 & 0.903 & 0.998 \\ 
m5c8 & 0.913 & 1.000 & 0.905 & 0.998 \\ 
m5c9 & 1.000 & 1.000 & 1.000 & 0.997 \\ 
m5c10 & 1.000 & 1.000 & 1.000 & 0.997 \\ 
m5c11 & 0.908 & 1.000 & 0.899 & 0.999 \\ 
m6c1 & 0.898 & 1.000 & 0.887 & 0.997 \\ 
m6c2 & 1.000 & 1.000 & 1.000 & 0.998 \\ 
m6c3 & 1.000 & 1.000 & 1.000 & 0.996 \\ 
m6c4 & 1.000 & 1.000 & 1.000 & 0.996 \\ 
m6c5 & 1.000 & 1.000 & 1.000 & 0.997 \\ 
m6c6 & 0.915 & 1.000 & 0.905 & 0.999 \\ 
m6c7 & 0.966 & 1.000 & 0.963 & 0.996 \\ 
m6c8 & 0.882 & 1.000 & 0.869 & 0.999 \\ 
m6c9 & 1.000 & 1.000 & 1.000 & 0.999 \\ 
m6c10 & 0.837 & 1.000 & 0.819 & 0.999 \\ 
\hline
\textbf{mean} & \textbf{0.935 } & \textbf{1.000 } & \textbf{0.926 } & \textbf{0.998 } \\
